instance,num_var,num_rep,num_steps,compress,runtime,gap,best_energy,gnd_energy,success_prob,best_solution
precision_2_timepoints_3_embedded.coo,32,128,10000,false,0.182870466,1.1460829929671328,-172.50753784179688,-174.5075390685065,0.0,1;1;-1;1;-1;-1;-1;-1;-1;-1;-1;1;1;1;1;-1;1;1;-1;-1;1;-1;-1;-1;-1;-1;-1;1;1;-1;1;1
precision_2_timepoints_4.coo,32,128,10000,false,0.182041532,0.0,-110.0,-110.0,7.8125,1;-1;-1;1;-1;1;-1;1;-1;1;-1;1;1;-1;-1;1;-1;-1;-1;1;-1;1;-1;1;-1;1;-1;1;-1;-1;-1;1
precision_2_timepoints_4_embedded.coo,45,128,10000,false,0.189882014,0.6974965730328101,-284.73272705078125,-286.7326776511633,0.0,1;-1;-1;1;-1;-1;1;-1;1;-1;-1;-1;-1;-1;1;-1;-1;1;1;-1;-1;-1;-1;-1;-1;1;1;1;1;-1;-1;-1;-1;-1;-1;-1;-1;1;1;-1;-1;-1;-1;-1;1
precision_2_timepoints_5.coo,40,128,10000,false,0.18384987,0.0,-144.0,-144.0,3.125,1;-1;-1;1;-1;1;-1;1;-1;1;-1;1;1;-1;-1;1;-1;-1;-1;1;-1;1;-1;1;-1;1;-1;1;-1;-1;-1;1;1;-1;-1;1;-1;1;-1;1
precision_2_timepoints_5_embedded.coo,54,128,10000,false,0.191960991,0.5808507801838945,-342.3214416503906,-344.3214353942183,0.0,1;-1;-1;1;1;-1;-1;-1;-1;-1;-1;-1;1;1;-1;1;1;-1;-1;1;-1;-1;-1;-1;-1;-1;1;1;-1;-1;-1;-1;-1;1;1;-1;1;-1;-1;-1;-1;-1;-1;-1;1;1;1;-1;-1;1;1;-1;-1;-1
precision_2_timepoints_6.coo,48,128,10000,false,0.18740384,0.5617977528089888,-177.0,-178.0,0.0,1;-1;-1;1;-1;1;-1;-1;-1;1;1;-1;1;-1;-1;1;-1;-1;-1;1;-1;1;1;-1;-1;1;-1;-1;-1;-1;-1;1;1;-1;-1;1;-1;1;-1;-1;-1;1;1;-1;1;-1;-1;1
precision_2_timepoints_6_embedded.coo,67,128,10000,false,0.199642272,5.853683361301762e-7,-458.5428771972656,-458.54287988143045,2.34375,1;-1;-1;1;-1;1;-1;-1;1;-1;-1;1;1;-1;-1;1;1;-1;-1;1;1;-1;-1;-1;-1;-1;1;1;-1;1;-1;-1;1;1;-1;-1;1;1;-1;-1;1;1;-1;-1;-1;-1;-1;1;1;-1;-1;-1;1;1;-1;1;-1;-1;1;-1;1;-1;1;1;-1;-1;1
precision_3_timepoints_3.coo,36,128,10000,false,0.190430863,0.2702702702702703,-92.25,-92.5,0.0,1;-1;-1;-1;1;-1;-1;1;-1;-1;1;1;-1;1;-1;-1;-1;1;1;-1;-1;-1;1;-1;-1;-1;-1;-1;1;-1;-1;1;-1;-1;-1;1
precision_3_timepoints_3_embedded.coo,56,128,10000,false,0.190915514,0.004327535949663601,-309.2871398925781,-309.3005249839893,0.78125,1;-1;-1;-1;-1;-1;1;1;-1;-1;1;-1;-1;-1;-1;1;-1;-1;1;1;-1;-1;-1;-1;1;1;1;1;1;-1;1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;1;1;-1;1;-1;1;-1;-1;-1;1;1;1
precision_3_timepoints_4.coo,48,128,10000,false,0.187617517,0.0,-133.0,-133.0,0.78125,1;-1;-1;-1;1;-1;-1;1;-1;-1;1;-1;-1;1;-1;-1;1;-1;1;-1;-1;-1;1;-1;-1;-1;-1;-1;1;-1;-1;1;-1;-1;1;-1;-1;1;-1;-1;1;-1;-1;-1;-1;-1;1;-1
precision_3_timepoints_4_embedded.coo,82,128,10000,false,0.190728298,-0.620743639308365,-542.8014526367188,-539.452833485787,2.34375,1;1;-1;-1;-1;-1;-1;1;1;-1;-1;1;-1;-1;-1;-1;-1;-1;1;1;1;1;-1;1;1;1;1;1;1;1;-1;-1;-1;1;-1;-1;-1;1;1;-1;-1;-1;-1;1;1;-1;-1;-1;-1;-1;1;1;-1;-1;1;1;1;1;1;-1;-1;1;1;-1;-1;-1;-1;-1;1;1;1;-1;-1;-1;-1;1;-1;-1;-1;-1;-1;1
